Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,Guadalajara,2,0,0,2,Guardia Nocturna,2024-09-23
,Guadalajara,1,1,0,0,Guardia Nocturna,2024-09-23
,Tonala,1,1,0,0,Guardia Nocturna,2024-09-23
"Mexico
(2)","Naucalpan de
Juarez",0,1,0,0,De Peso,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,Toluca,1,0,1,0,El Sol de Toluca,2024-09-23
"Michoacan
de
Ocampo
(3)",Morelia,1,1,0,0,La Voz de Michoacan,2024-09-23
,Morelia,0,0,0,2,Noventa Grados,2024-09-23
,,2,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Morelos
(10)",Atlatlahucan,1,1,0,0,Diario de Morelos,2024-09-23
,Cuautla,1,1,0,0,TV Azteca,2024-09-23
,"Emiliano
Zapata",0,1,0,0,Central de Noticias,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,"Emiliano
Zapata",0,1,0,0,La Union de Morelos,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,Jojutla,2,2,0,0,La Union de Morelos,2024-09-23
,Temixco,1,1,0,0,Diario de Morelos,2024-09-23
,Temoac,1,0,1,0,El Sol de Cuautla,2024-09-23
,Tlaquiltenango,1,1,0,0,Diario de Morelos,2024-09-23
,Yautepec,1,1,0,0,La Union de Morelos,2024-09-23
"Nuevo
Leon
(6)",China,3,0,0,3,El Porvenir,2024-09-23
,Garcia,1,0,1,0,El Porvenir,2024-09-23
,"General
Escobedo",0,0,1,1,El Porvenir,2024-09-23
,,2,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Oaxaca
(4)",Salina Cruz,1,1,0,0,La Onda Oaxaca,2024-09-23
,"San Felipe
Usila",0,1,0,0,El Pinero de la Cuenca,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,"Santiago
Pinotepa
Nacional",0,1,0,0,Imparcial de Oaxaca,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,"Santo
Domingo
Tehuantepec",0,1,0,0,ADN Sureste,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Puebla
(7)",Atoyatempan,1,0,0,1,Periodico Central,2024-09-23
,Hueytamalco,1,1,0,0,Municipios,2024-09-23
,Oriental,2,2,0,0,Puebla Roja,2024-09-23
,Puebla,1,1,0,0,Periodico Central,2024-09-23
,Puebla,1,1,0,0,Reto Diario,2024-09-23
,"Vicente
Guerrero",0,1,0,0,Urbano Puebla,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Quintana
Roo
(3)",Benito Juarez,1,1,0,0,Noticaribe,2024-09-23
,Benito Juarez,1,1,0,0,Noticaribe,2024-09-23
,Tulum,1,1,0,0,Noticaribe,2024-09-23
"San Luis
Potosi
(1)",San Luis Potosi,0,0,1,0,Pulso San Luis Potosi,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Sinaloa
(4)",Culiacan,1,1,0,0,Cafe Negro Portal,2024-09-23
,Culiacan,1,1,0,0,El Siglo de Torreon,2024-09-23
,Culiacan,1,1,0,0,Noreste,2024-09-23
,Mazatlan,1,1,0,0,El Sol de Mazatlan,2024-09-23
"Sonora
(6)",Hermosillo,1,1,0,0,El Sol de Hermosillo,2024-09-23
,Hermosillo,3,3,0,0,Uniradio Informa,2024-09-23
,"San Luis Rio
Colorado",0,1,0,0,Tribuna de San Luis,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,"San Luis Rio
Colorado",0,1,0,0,Tribuna de San Luis,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Tabasco
(3)",Centro,1,0,1,0,El Heraldo de Tabasco,2024-09-23
,Centro,1,0,1,0,Tabasco Hoy,2024-09-23
,Nacajuca,1,1,0,0,Tabasco Hoy,2024-09-23
"Tamaulipas
(1)",Rio Bravo,0,0,0,1,La Silla Rota,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Tlaxcala
(1)","Ixtacuixtla de
Mariano
Matamoros",0,0,1,0,Urbano Puebla,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Veracruz
de Ignacio
de la Llave
(3)",Coatzacoalcos,2,2,0,0,XEU Noticias,2024-09-23
,Tuxpan,0,1,0,0,El Pinero de la Cuenca,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
Totales:,,85,62,10,13,,2024-09-23
