Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Baja
California
(7)",Mexicali,1,1,0,0,La Voz de la Frontera,2024-09-23
,Mexicali,1,0,0,1,La Voz de la Frontera,2024-09-23
,Tijuana,1,1,0,0,El Mexicano,2024-09-23
,Tijuana,1,1,0,0,El Mexicano,2024-09-23
,Tijuana,1,0,0,1,La Voz de la Frontera,2024-09-23
,Tijuana,1,1,0,0,Sintesis,2024-09-23
,Tijuana,1,1,0,0,Zeta Tijuana,2024-09-23
"Chiapas
(1)",Teopisca,0,1,0,0,El Heraldo de Chiapas,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Chihuahua
(6)",Bachiniva,1,1,0,0,Codigo 13,2024-09-23
,Chihuahua,1,1,0,0,La Opcion,2024-09-23
,Chihuahua,1,1,0,0,La Opcion de Chihuahua,2024-09-23
,Cuauhtemoc,1,1,0,0,El Diario de Chihuahua,2024-09-23
,Juarez,1,1,0,0,El Diario de Chihuahua,2024-09-23
,Juarez,1,1,0,0,La Opcion de Chihuahua,2024-09-23
"Ciudad de
Mexico
(2)","Gustavo A.
Madero",0,0,1,0,Reforma,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,Tlalpan,1,0,0,1,TV Azteca,2024-09-23
"Guanajuato
(3)",Leon,1,1,0,0,El Sol de Leon,2024-09-23
,Leon,1,1,0,0,Periodico Correo,2024-09-23
,"San Miguel de
Allende",0,0,1,0,Periodico Correo,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Guerrero
(5)","Acapulco de
Juarez",0,1,0,0,El Sol de Acapulco,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,"Acapulco de
Juarez",0,1,0,0,El Sur,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,"Acapulco de
Juarez",0,1,0,0,Quadratin,2024-09-23
,,1,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
,Eduardo Neri,1,1,0,0,Quadratin Guerrero,2024-09-23
,Petatlan,1,1,0,0,Quadratin Guerrero,2024-09-23
"Hidalgo
(2)","Tepeji del Rio
de Ocampo",0,2,0,0,Criterio Hidalgo,2024-09-23
,,2,0,0,0,,2024-09-23
,,0,0,0,0,,2024-09-23
"Jalisco
(5)",El Salto,1,1,0,0,Guardia Nocturna,2024-09-23
