Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Baja
California
(10)",Tijuana,1,0,0,1,El Mexicano,2024-09-20
,Tijuana,4,4,0,0,Uniradio Informa,2024-09-20
,Tijuana,2,2,0,0,Zeta Tijuana,2024-09-20
,Tijuana,1,1,0,0,Zeta Tijuana,2024-09-20
,Tijuana,1,1,0,0,Zeta Tijuana,2024-09-20
,Tijuana,1,1,0,0,Zeta Tijuana,2024-09-20
"Chiapas
(2)",Berriozabal,1,0,1,0,El Sol de Chiapas,2024-09-20
,"San Juan
Cancuc",0,1,0,0,Diario de Chiapas,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Chihuahua
(15)",Chihuahua,1,1,0,0,El Puntero,2024-09-20
,Chihuahua,1,1,0,0,La Opcion de Chihuahua,2024-09-20
,Juarez,2,2,0,0,El Diario de Chihuahua,2024-09-20
,Ojinaga,11,0,0,11,El Sol de Parral,2024-09-20
"Ciudad de
Mexico
(1)",Iztapalapa,0,1,0,0,Notigram,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Colima
(2)",Colima,1,1,0,0,AFmedios,2024-09-20
,Tecoman,1,1,0,0,Meganoticias,2024-09-20
"Durango
(1)",Lerdo,0,1,0,0,El Sol de la Laguna,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Guanajuato
(7)",Celaya,1,1,0,0,El Sol del Bajio,2024-09-20
,Celaya,1,1,0,0,El Sol del Bajio,2024-09-20
,Celaya,2,1,1,0,La Prensa,2024-09-20
,Celaya,0,1,0,0,"Noticias del Estado de
Guanajuato",2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
,Cortazar,1,1,0,0,AM,2024-09-20
,Leon,1,0,1,0,Milenio,2024-09-20
"Guerrero
(1)","Acapulco de
Juarez",0,1,0,0,El Sol de Acapulco,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Hidalgo
(2)",Atitalaquia,1,1,0,0,Milenio,2024-09-20
,Ixmiquilpan,1,1,0,0,El Sol de Hidalgo,2024-09-20
"Jalisco
(3)",Guadalajara,1,0,0,1,Jalisco Rojo Oficial,2024-09-20
,"San Pedro
Tlaquepaque",0,1,0,0,Guardia Nocturna,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
,"San Pedro
Tlaquepaque",0,1,0,0,Guardia Nocturna,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Mexico
(4)","Tlalnepantla
de Baz",0,1,0,0,La Jornada,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
,Toluca,3,3,0,0,El Sol de Toluca,2024-09-20
"Michoacan
de
Ocampo
(4)",Morelia,1,1,0,0,Noventa Grados,2024-09-20
,Morelia,1,0,1,0,Red 113,2024-09-20
,Uruapan,1,1,0,0,La Voz de Michoacan,2024-09-20
,Zamora,1,1,0,0,Red 113,2024-09-20
"Morelos
(2)",Cuautla,1,1,0,0,24 Morelos,2024-09-20
,Cuernavaca,1,1,0,0,El Sol de Chiapas,2024-09-20
"Nuevo
Leon
(2)",Garcia,1,1,0,0,El Porvenir,2024-09-20
,Monterrey,0,1,0,0,El Porvenir,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Puebla
(5)",Amozoc,1,1,0,0,Periodico Central,2024-09-20
,Huejotzingo,1,0,1,0,Municipios Puebla,2024-09-20
,Puebla,2,2,0,0,Ambos Manos,2024-09-20
,"San Martin
Texmelucan",0,0,1,0,Puebla Roja,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Queretaro
(2)","Jalpan de
Serra",0,1,0,0,ADN Informativo,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
,Queretaro,1,1,0,0,Diario de Queretaro,2024-09-20
"Quintana
Roo
(3)","Benito
Juarez",0,0,0,1,Desde El Balcon,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
,Tulum,0,2,0,0,"Novedades de Quintana
Roo",2024-09-20
,,2,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"San Luis
Potosi
(2)",Tamuin,1,1,0,0,Pulso San Luis Potosi,2024-09-20
,Tamuin,0,1,0,0,Pulso San Luis Potosi,2024-09-20
,,1,0,0,0,,2024-09-20
,,0,0,0,0,,2024-09-20
"Sinaloa
(4)",Culiacan,1,0,0,1,Debate,2024-09-20
,Culiacan,1,1,0,0,Entre Veredas,2024-09-20
,Culiacan,1,0,1,0,Reflectores MX,2024-09-20
,Sinaloa,1,1,0,0,Cafe Negro Portal,2024-09-20
"Sonora
(5)",Caborca,3,3,0,0,Sintesis TV,2024-09-20
,Nogales,2,0,0,2,El Universal,2024-09-20
"Tabasco
(3)",Cardenas,2,2,0,0,El Heraldo de Tabasco,2024-09-20
,Nacajuca,1,1,0,0,El Heraldo de Tabasco,2024-09-20
"Tlaxcala
(2)",Huamantla,1,1,0,0,El Imparcial,2024-09-20
,Panotla,1,0,0,1,Agencia Red Noticias,2024-09-20
"Veracruz
de Ignacio
de la Llave
(2)",Atoyac,1,1,0,0,Al Calor Politico,2024-09-20
