Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Baja
California
(5)",Mexicali,2,2,0,0,Debate,2024-09-21
,Tijuana,1,1,0,0,PSN en Linea,2024-09-21
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-21
,Tijuana,1,0,1,0,Uniradio Informa,2024-09-21
"Chiapas
(4)",Suchiate,1,0,1,0,El Universal,2024-09-21
,Tapachula,1,0,0,1,Diario del Sur,2024-09-21
,Tapachula,2,2,0,0,El Orbe,2024-09-21
"Chihuahua
(4)",Guachochi,1,1,0,0,El Monitor,2024-09-21
,Juarez,1,0,1,0,El Universal,2024-09-21
,Juarez,1,0,1,0,El Universal,2024-09-21
,Juarez,1,1,0,0,Net Noticias,2024-09-21
"Ciudad de
Mexico
(3)",Azcapotzalco,1,1,0,0,El Grafico,2024-09-21
,Cuauhtemoc,1,1,0,0,El Grafico,2024-09-21
,Iztapalapa,1,1,0,0,Milenio,2024-09-21
"Guanajuato
(10)",Apaseo el Alto,1,1,0,0,Noventa Grados,2024-09-21
,Guanajuato,1,0,1,0,El Universal,2024-09-21
,Leon,2,2,0,0,AM,2024-09-21
,Leon,1,1,0,0,AM,2024-09-21
,Leon,1,1,0,0,Zona Franca,2024-09-21
,Salamanca,1,1,0,0,AM,2024-09-21
,"San Jose
Iturbide",0,1,0,0,Periodico Correo,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,"Santa Cruz de
Juventino
Rosas",0,2,0,0,AM,2024-09-21
,,2,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Guerrero
(4)","Acapulco de
Juarez",0,1,0,0,Sur Acapulco,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,"Chilpancingo
de los Bravo",0,1,0,0,Sur Acapulco,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,Xalpatlahuac,2,2,0,0,Quadratin,2024-09-21
"Jalisco
(3)","Tamazula de
Gordiano",0,0,1,0,Telediario,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,Teocaltiche,2,2,0,0,Informador,2024-09-21
Mexico,Coyotepec,2,2,0,0,El Informante,2024-09-21
(7),Jiquipilco,1,0,1,0,Diario de Chiapas,2024-09-21
,"Naucalpan de
Juarez",0,1,0,0,DigitalMex,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,"Naucalpan de
Juarez",0,1,0,0,Milenio,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,Ocoyoacac,1,1,0,0,El Grafico,2024-09-21
,Texcoco,1,1,0,0,DigitalMex,2024-09-21
"Michoacan
de
Ocampo
(2)",Morelia,1,1,0,0,Noventa Grados,2024-09-21
,Morelia,0,1,0,0,Quadratin,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Morelos
(1)",Xochitepec,0,1,0,0,Diario de Morelos,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Nuevo
Leon
(2)","General
Escobedo",0,1,0,0,Milenio,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,Montemorelos,1,1,0,0,Milenio,2024-09-21
"Oaxaca
(3)","Heroica
Ciudad de
Ejutla de
Crespo",0,0,2,0,"Imparcial de
Oaxaca",2024-09-21
,,2,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,"Santiago
Ixtayutla",0,1,0,0,"El Pinero de la
Cuenca",2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Puebla
(7)",Jalpan,1,1,0,0,Diario Puntual,2024-09-21
,Puebla,3,0,0,3,Parabolica,2024-09-21
,Puebla,3,0,0,3,Parabolica,2024-09-21
"San Luis
Potosi
(2)","San Luis
Potosi",0,1,1,0,"Pulso San Luis
Potosi",2024-09-21
,,2,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Sinaloa
(10)",Culiacan,2,2,0,0,La Silla Rota,2024-09-21
,Culiacan,5,5,0,0,Linea Directa,2024-09-21
,Culiacan,1,1,0,0,Los Noticieristas,2024-09-21
,Culiacan,1,1,0,0,Quadratin,2024-09-21
,Navolato,1,1,0,0,Cafe Negro Portal,2024-09-21
"Sonora
(1)",Cajeme,0,1,0,0,Medios Obson,2024-09-21
,,1,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
"Veracruz
de Ignacio
de la Llave
(2)",Rio Blanco,0,1,1,0,"El Pinero de la
Cuenca",2024-09-21
,,2,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
,Villanueva,1,1,0,0,NTR Zacatecas,2024-09-21
"Zacatecas
(3)",Zacatecas,0,2,0,0,NTR Zacatecas,2024-09-21
,,2,0,0,0,,2024-09-21
,,0,0,0,0,,2024-09-21
Totales:,,73,55,11,7,,2024-09-21
