Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Baja
California
(7)",Tijuana,1,0,0,1,El Mexicano,2024-09-24
,Tijuana,1,1,0,0,El Mexicano,2024-09-24
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-24
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-24
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-24
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-24
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-24
"Chiapas
(1)",Suchiate,0,1,0,0,Diario de Chiapas,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Chihuahua
(1)",Juarez,0,1,0,0,La Opcion de Chihuahua,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Ciudad de
Mexico
(2)",Tlalpan,1,1,0,0,La Prensa,2024-09-24
,"Venustiano
Carranza",0,1,0,0,Tribuna,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Coahuila
de
Zaragoza
(1)",Torreon,0,1,0,0,Radio Zocalo,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Colima
(3)",Colima,2,2,0,0,Colima Noticias,2024-09-24
,Colima,1,1,0,0,Diario de Colima,2024-09-24
"Durango
(1)",Durango,0,0,1,0,Viva La Noticia,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Guanajuato
(17)",Celaya,1,1,0,0,Periodico Correo,2024-09-24
,Guanajuato,1,1,0,0,Periodico Correo,2024-09-24
,Leon,1,1,0,0,El Sol de Leon,2024-09-24
,Leon,1,1,0,0,Noticias Vespertinas,2024-09-24
,Leon,1,1,0,0,Periodico Correo,2024-09-24
,Leon,10,0,0,10,Periodico Correo,2024-09-24
,Salamanca,1,0,1,0,El Sol de Salamanca,2024-09-24
,"San Luis de la
Paz",0,0,0,1,Periodico Correo,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Guerrero
(1)","Acapulco de
Juarez",0,1,0,0,Sur Acapulco,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Hidalgo
(5)",Metepec,1,1,0,0,Plaza Juarez,2024-09-24
,"Mineral de la
Reforma",0,0,1,0,El Sol de Hidalgo,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,"Mineral del
Monte",0,1,0,0,Plaza Juarez,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,"Tepeji del Rio
de Ocampo",0,1,0,0,El Sol de Hidalgo,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,"Tula de
Allende",0,1,0,0,Plaza Juarez,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Jalisco
(3)",Guadalajara,1,1,0,0,Guardia Nocturna,2024-09-24
,Zapopan,2,0,0,2,Telediario,2024-09-24
"Mexico
(4)","Coacalco de
Berriozabal",0,0,0,1,Reforma,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,Tenancingo,1,1,0,0,A Fondo Estado de Mexico,2024-09-24
,"Villa del
Carbon",0,0,1,0,La Prensa,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,Zinacantepec,1,1,0,0,El Sol de Toluca,2024-09-24
"Michoacan
de
Ocampo
(1)",Morelia,0,1,0,0,Changoonga,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Morelos
(5)",Cuernavaca,2,2,0,0,Diario de Morelos,2024-09-24
,Cuernavaca,1,1,0,0,Morelos News,2024-09-24
,Xochitepec,1,1,0,0,La Union de Morelos,2024-09-24
,Zacatepec,1,1,0,0,24 Morelos,2024-09-24
"Nayarit
(1)",Tepic,0,1,0,0,NTV,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Nuevo
Leon
(1)","Santa
Catarina",0,1,0,0,Telediario,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
