Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
"Oaxaca
(5)","Juchitan de
Zaragoza",0,0,0,2,Contrapropuesta,2024-09-24
,,2,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,"Juchitan de
Zaragoza",0,1,1,0,El Imparcial Oaxaca,2024-09-24
,,2,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,"Juchitan de
Zaragoza",0,0,1,0,El Imparcial Oaxaca,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Puebla
(2)",Huejotzingo,1,0,0,1,Cinco Radio,2024-09-24
,Tehuacan,1,1,0,0,Urbano Puebla,2024-09-24
"Quintana
Roo
(1)","Benito
Juarez",0,0,1,0,Marcrix Noticias,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Sinaloa
(5)",Culiacan,1,1,0,0,Cafe Negro Portal,2024-09-24
,Culiacan,1,1,0,0,EL Sol de Sinaloa,2024-09-24
,Elota,1,1,0,0,EL Sol de Sinaloa,2024-09-24
,Navolato,2,2,0,0,EL Sol de Sinaloa,2024-09-24
Sonora,Cajeme,1,1,0,0,Entorno Informativo,2024-09-24
(3),"San Luis Rio
Colorado",0,2,0,0,Entorno Informativo,2024-09-24
,,2,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Tamaulipas
(1)",Altamira,0,0,1,0,Telemar Campeche,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
"Veracruz
de Ignacio
de la Llave
(3)","Poza Rica de
Hidalgo",0,1,0,0,El Pinero de la Cuenca,2024-09-24
,,1,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
,"San Juan
Evangelista",0,2,0,0,La Jornada,2024-09-24
,,2,0,0,0,,2024-09-24
,,0,0,0,0,,2024-09-24
Totales:,,74,48,8,18,,2024-09-24
