Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Aguascalientes
(1)",Tepezala,0,1,0,0,"El Circo
Aguascalientes",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Baja California
(8)",Mexicali,0,1,0,0,"La Voz de la
Frontera",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,Tijuana,1,1,0,0,Alfredoalvarez.mx,2024-09-25
,Tijuana,3,0,0,3,El Mexicano,2024-09-25
,Tijuana,1,0,0,1,El Sol de Tijuana,2024-09-25
,Tijuana,1,1,0,0,El Sol de Tijuana,2024-09-25
,Tijuana,1,1,0,0,El Sol de Tijuana,2024-09-25
"Campeche
(2)",Carmen,0,2,0,0,Por Esto!,2024-09-25
,,2,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Chiapas
(4)",Tapachula,2,2,0,0,Diario del Sur,2024-09-25
,Villa Corzo,2,2,0,0,El Heraldo,2024-09-25
"Chihuahua
(1)",Chihuahua,0,0,1,0,AR Noticias,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Ciudad de
Mexico
(3)","Gustavo A.
Madero",0,0,3,0,El Grafico,2024-09-25
,,3,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Colima
(1)",Colima,0,1,0,0,Colima Noticias,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Guanajuato
(7)",Celaya,1,1,0,0,Celaya News,2024-09-25
,Celaya,1,1,0,0,Noventa Grados,2024-09-25
,Celaya,1,0,1,0,Noventa Grados,2024-09-25
,Leon,1,1,0,0,AM,2024-09-25
,Leon,0,1,0,0,"El Heraldo de San
Luis Potosi",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Purisima del
Rincon",0,1,0,0,El Sol de Leon,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Valle de
Santiago",0,1,0,0,"El Sol de
Salamanca",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Guerrero
(2)","Acapulco de
Juarez",0,1,0,0,"Quadratin
Guerrero",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Chilpancingo
de los Bravo",0,0,1,0,"Agencia de
Noticias Guerrero",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
"Jalisco
(6)",Guadalajara,0,1,0,0,"Guardia
Nocturna",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"San Pedro
Tlaquepaque",0,2,1,0,"Guardia
Nocturna",2024-09-25
,,3,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Tlajomulco de
Zuniga",0,1,0,0,"Guardia
Nocturna",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,Zapopan,0,1,0,0,"Jalisco Rojo
Oficial",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
Mexico (9),"Almoloya del
Rio",0,1,0,0,La Prensa,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Coacalco de
Berriozabal",0,0,1,0,La Prensa,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Ecatepec de
Morelos",0,0,0,1,Reforma,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Ecatepec de
Morelos",0,1,0,0,"Reporteros en
Movimiento",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,"Naucalpan de
Juarez",0,1,0,0,La Jornada,2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,Tecamac,1,1,0,0,Milenio,2024-09-25
,"Tenango del
Valle",0,1,0,1,Tres PM Noticias,2024-09-25
,,2,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,Toluca,1,1,0,0,El Sol de Toluca,2024-09-25
"Michoacan de
Ocampo
(4)",Apatzingan,0,2,0,0,"La Voz de
Michoacan",2024-09-25
,,2,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,Erongaricuaro,0,1,0,0,"La Voz de
Michoacan",2024-09-25
,,1,0,0,0,,2024-09-25
,,0,0,0,0,,2024-09-25
,Uruapan,0,1,0,0,"La Voz de
Michoacan",2024-09-25
,,1,0,0,0,,2024-09-25
