Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Baja
California
(6)",Mexicali,1,1,0,0,La Voz de la Frontera,2024-09-22
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-22
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-22
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-22
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-22
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-22
"Baja
California
Sur (1)",La Paz,0,1,0,0,El Universal,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Chiapas
(4)",Villaflores,0,4,0,0,El Heraldo de Chiapas,2024-09-22
,,4,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Chihuahua
(4)",Jimenez,3,2,1,0,El Sol de Mexico,2024-09-22
,Juarez,1,1,0,0,Net Noticias,2024-09-22
"Coahuila
de
Zaragoza
(1)","San Juan de
Sabinas",0,1,0,0,La Prensa de Coahuila,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Colima
(1)",Colima,0,1,0,0,Colima Noticias,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Guanajuato
(17)",Celaya,4,3,1,0,Periodico Correo,2024-09-22
,Leon,2,2,0,0,AM,2024-09-22
,Leon,1,1,0,0,AM,2024-09-22
,Leon,1,1,0,0,AM,2024-09-22
,Penjamo,1,1,0,0,AM,2024-09-22
,Salamanca,1,1,0,0,Periodico Correo,2024-09-22
,Salvatierra,1,1,0,0,Reporte Directo,2024-09-22
,"Silao de la
Victoria",0,1,0,0,AM,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
,Tarimoro,1,1,0,0,AM,2024-09-22
,"Valle de
Santiago",0,2,0,0,AM,2024-09-22
,,2,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
,"Valle de
Santiago",0,1,0,0,AM,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
,"Valle de
Santiago",0,1,0,0,Periodico Correo,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Guerrero
(1)","Atoyac de
Alvarez",0,1,0,0,Sur Acapulco,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Michoacan
de
Ocampo
(4)",Morelia,1,0,1,0,El Sol de Morelia,2024-09-22
,Morelia,1,1,0,0,La Voz de Michoacan,2024-09-22
,Morelia,1,1,0,0,Noventa Grados,2024-09-22
,Morelia,1,1,0,0,Noventa Grados,2024-09-22
"Nuevo
Leon
(2)",Juarez,1,1,0,0,El Porvenir,2024-09-22
,Monterrey,0,1,0,0,Telediario,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Puebla
(6)",Cuautinchan,1,1,0,0,Puebla en Linea,2024-09-22
,Puebla,3,3,0,0,Milenio,2024-09-22
,Puebla,2,2,0,0,Puebla en Linea,2024-09-22
"Quintana
Roo
(1)",Benito Juarez,0,1,0,0,Facebook,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Sinaloa
(1)",Culiacan,0,1,0,0,Linea Directa,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Sonora
(2)",Santa Ana,0,2,0,0,La Verdad Sonora,2024-09-22
,,2,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Tabasco
(1)",Cardenas,0,1,0,0,El Heraldo de Tabasco,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Tlaxcala
(2)",Nativitas,1,1,0,0,Gentlx,2024-09-22
,"San Pablo del
Monte",0,1,0,0,Gentlx,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Veracruz
de Ignacio
de la Llave
(2)","Las Vigas de
Ramirez",0,1,0,0,Veracruz Noticias,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
,Rio Blanco,0,1,0,0,Veracruz Noticias,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
"Zacatecas
(1)",Guadalupe,0,1,0,0,NTR Zacatecas,2024-09-22
,,1,0,0,0,,2024-09-22
,,0,0,0,0,,2024-09-22
Totales:,,57,54,3,0,,2024-09-22
