Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Aguascalientes
(1)",Aguascalientes,0,1,0,0,El Sol del Centro,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Baja California
(7)",Mexicali,1,1,0,0,La Voz de la Frontera,2024-09-27
,Mexicali,1,1,0,0,La Voz de la Frontera,2024-09-27
,Mexicali,1,1,0,0,La Voz de la Frontera,2024-09-27
,Mexicali,1,1,0,0,La Voz de la Frontera,2024-09-27
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-27
,Tijuana,1,0,0,1,Uniradio Informa,2024-09-27
,Tijuana,1,0,0,1,Uniradio Informa,2024-09-27
"Chiapas
(2)","San Cristobal
de las Casas",0,1,0,0,"El Heraldo de
Chiapas",2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,Tapachula,0,1,0,0,"El Heraldo de
Chiapas",2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Chihuahua
(2)",Guachochi,0,1,0,0,"El Diario de
Chihuahua",2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,Juarez,1,1,0,0,El Diario,2024-09-27
"Ciudad de
Mexico
(1)","Gustavo A.
Madero",0,0,1,0,El Heraldo de Mexico,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Coahuila de
Zaragoza
(1)",Acuna,0,1,0,0,La Voz,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Colima
(2)",Comala,1,1,0,0,AFmedios,2024-09-27
,Villa de Alvarez,1,1,0,0,AFmedios,2024-09-27
"Guanajuato
(9)",Celaya,1,1,0,0,Noventa Grados,2024-09-27
,Irapuato,1,0,0,1,Periodico Correo,2024-09-27
,Irapuato,1,1,0,0,Periodico Correo,2024-09-27
,Leon,1,0,1,0,La Silla Rota,2024-09-27
,Leon,2,2,0,0,N+,2024-09-27
,"San Luis de la
Paz",0,1,0,0,Periodico Acento 21,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Santa Cruz de
Juventino
Rosas",0,1,0,0,Periodico Correo,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Valle de
Santiago",0,1,0,0,El Sol de Salamanca,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Hidalgo
(1)","Pachuca de
Soto",0,1,0,0,"Cronica de Hoy
Hidalgo",2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Jalisco
(6)",Guadalajara,1,0,0,1,Guardia Nocturna,2024-09-27
,Guadalajara,1,1,0,0,Guardia Nocturna,2024-09-27
,Guadalajara,1,1,0,0,Guardia Nocturna,2024-09-27
,Guadalajara,1,0,0,1,Guardia Nocturna,2024-09-27
,"Tlajomulco de
Zuniga",0,1,0,0,Guardia Nocturna,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Tlajomulco de
Zuniga",0,0,1,0,Guardia Nocturna,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Mexico
(9)",Chalco,1,1,0,0,La Prensa,2024-09-27
,"Naucalpan de
Juarez",0,0,0,1,Jorge Becerril,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Nicolas
Romero",0,1,1,0,Escuadron Tv,2024-09-27
,,2,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Nicolas
Romero",0,2,0,0,La Prensa,2024-09-27
,,2,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Tenango del
Valle",0,1,1,0,Tres PM Noticias,2024-09-27
,,2,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,Toluca,1,1,0,0,Debate,2024-09-27
"Morelos
(2)",Cuautla,1,1,0,0,La Union,2024-09-27
,Tepoztlan,1,1,0,0,La Union,2024-09-27
"Nuevo Leon
(6)",Apodaca,1,1,0,0,El Porvenir,2024-09-27
,Apodaca,1,0,1,0,Milenio,2024-09-27
,Apodaca,1,0,1,0,Tribuna,2024-09-27
,Garcia,2,1,1,0,Telediario,2024-09-27
,Mina,1,1,0,0,Milenio,2024-09-27
"Oaxaca
(2)","Heroica
Ciudad de
Huajuapan de
Leon",0,1,0,0,"El Pinero de la
Cuenca",2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,"Juchitan de
Zaragoza",0,1,0,0,El Imparcial,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Puebla
(2)","San Miguel
Xoxtla",0,1,0,0,Periodico Central,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,Teopantlan,1,1,0,0,Municipios,2024-09-27
"Quintana Roo
(3)",Benito Juarez,1,1,0,0,Saber Politico,2024-09-27
,Benito Juarez,1,1,0,0,Sipse,2024-09-27
,Solidaridad,1,1,0,0,De Peso,2024-09-27
"San Luis Potosi
(1)",San Luis Potosi,0,1,0,0,Tribuna de San Luis,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
Sinaloa,Concordia,2,2,0,0,Cafe Negro Portal,2024-09-27
(8),Culiacan,1,1,0,0,Cafe Negro Portal,2024-09-27
,Culiacan,1,1,0,0,Los Noticieristas,2024-09-27
,Culiacan,1,1,0,0,Luz Noticias,2024-09-27
,Mazatlan,2,2,0,0,Luz Noticias,2024-09-27
,Mocorito,1,1,0,0,Satelite Online,2024-09-27
"Sonora
(2)",Hermosillo,1,1,0,0,Uniradio Informa,2024-09-27
,"San Luis Rio
Colorado",0,1,0,0,Tribuna de San Luis,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Tamaulipas
(1)",Reynosa,0,1,0,0,El Manana,2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
"Veracruz de
Ignacio de la
Llave
(6)",Carrillo Puerto,1,1,0,0,Imagen del Golfo,2024-09-27
,Coatzacoalcos,0,1,0,0,"El Pinero de la
Cuenca",2024-09-27
,,1,0,0,0,,2024-09-27
,,0,0,0,0,,2024-09-27
,Coatzacoalcos,0,1,0,0,"El Pinero de la
Cuenca",2024-09-27
